,date,Month,E01Temp,E02Temp,E03Temp,E04Temp,E05Temp,E06Temp,E07Temp,E08Temp,E09Temp
42,11/02/2017,February,0.772919014,2.702017703,2.05082439,1.883236187,1.743870028,1.203914165,2.039808011,1.097455374,0.728085861
43,12/02/2017,February,1.539405263,3.028430686,2.412263093,2.331916922,2.367074938,1.813614133,2.502373524,1.526833489,1.040516624
44,13/02/2017,February,2.861430599,3.585442618,2.671005616,3.565573048,3.914881716,3.352337253,4.481267865,3.376865048,2.945974629
45,14/02/2017,February,4.518924928,5.294106525,4.686273144,4.223635711,4.560363545,3.961312137,4.856930398,3.899295822,3.819597597
46,15/02/2017,February,6.096156041,6.53371081,6.550050423,6.496151202,6.43120192,5.914782927,6.754514707,5.606777488,5.735261044
47,16/02/2017,February,6.577459426,7.641850408,7.107949555,7.433025289,7.441199246,6.784418928,7.808593433,6.909285856,7.320467129
48,17/02/2017,February,6.433945662,6.377576229,6.227969886,6.937510647,7.002708705,7.358652893,8.301825556,7.423749535,7.652517131
49,18/02/2017,February,7.190383507,8.096296345,7.728243577,8.214327976,7.866702695,7.484288579,8.833633084,7.918356551,8.174505337
50,19/02/2017,February,8.347145254,9.027241282,8.695057144,9.210198969,8.820314366,8.129243666,9.043534572,8.259341363,8.080234518
51,20/02/2017,February,8.879222215,11.04591446,10.35846168,10.48556458,10.54578212,10.19420366,10.21009894,9.544755841,8.989001734
52,21/02/2017,February,6.880377601,8.305482069,7.600225268,7.976062233,8.258663578,8.112626967,8.512764562,7.727020239,7.868006462
53,22/02/2017,February,5.821617445,6.788419035,6.462175091,7.290222145,7.808636816,7.539698667,7.925991264,7.013451488,6.836201338
54,23/02/2017,February,4.313255343,4.844371417,4.352299549,5.974674794,6.179907126,6.161871778,6.551230691,5.71732429,5.53014008
55,24/02/2017,February,3.68386141,5.031742075,4.797028153,4.616995271,4.636518312,4.392499999,5.163367504,4.411400426,4.263565072
56,25/02/2017,February,5.410800561,7.327497676,6.769087275,6.881562673,6.777170807,6.337296545,6.951169998,6.151480772,5.53618792
57,26/02/2017,February,6.230539784,8.440590449,7.434928895,7.769057942,8.352852341,8.063233367,8.510547592,7.702034188,7.232942791
58,27/02/2017,February,3.821960505,5.016369162,4.336441838,5.247075095,5.205868808,5.39194335,5.089863334,4.257170815,3.640237271
59,28/02/2017,February,1.964660699,3.636221231,3.214476991,3.533838306,3.174687417,2.813671129,3.137623785,2.358407713,2.273951792
60,01/03/2017,March,2.176930726,4.117376193,3.697847784,3.700531095,3.607953787,3.524116009,4.269404024,3.222004592,3.820076287
61,02/03/2017,March,3.338760853,4.50018394,4.045717001,4.977597654,4.958033442,4.547183812,5.029597819,4.134597629,3.74009943
62,03/03/2017,March,3.741625369,4.915840149,4.349122882,4.609512568,4.666940928,4.229759455,5.334496617,4.257690668,4.235474706
63,04/03/2017,March,5.943078637,6.453944325,6.030875206,7.050698757,7.203722477,6.885262132,7.834596872,6.823412061,7.028734326
64,05/03/2017,March,5.475422025,6.923043847,6.272240818,6.380779028,5.762654185,5.108129978,5.183621764,4.270995736,3.884486437
65,06/03/2017,March,5.311878324,5.274410546,5.090295732,5.884534657,5.345583975,4.918248773,6.484164715,5.573411822,5.321016669
66,07/03/2017,March,4.084683985,5.490776181,5.182583123,5.626074612,5.535509527,5.295593202,5.985662699,5.196958005,5.153585315
67,08/03/2017,March,6.580771923,7.475057244,7.242015243,8.560288668,8.540426493,7.93648982,8.465634584,7.574768782,7.326808929
68,09/03/2017,March,7.193319798,8.747027159,8.574306488,9.063864231,8.43723321,7.766986847,9.071907282,7.986243963,7.441527367
69,10/03/2017,March,6.153805971,7.126816273,6.677454531,6.778603911,6.590590596,6.398418307,7.557441473,6.711366773,7.001849174
